latitude,longitude,time
4.949999999999996,85.15,
4.849999999999994,85.25,
4.749999999999993,85.35,
4.6499999999999915,85.45,
4.549999999999997,85.55,
4.449999999999996,85.65,
4.349999999999994,85.75,
4.249999999999993,85.85,
4.1499999999999915,85.95,
4.049999999999997,86.05,
3.9499999999999957,86.15,
3.8499999999999943,86.25,
3.749999999999993,86.35,
3.6499999999999915,86.45,
3.549999999999997,86.55,
3.4499999999999957,86.65,
3.3499999999999943,86.75,
3.249999999999993,86.85,
3.1499999999999915,86.95,
3.049999999999997,87.05,
2.9499999999999957,87.15,
2.8499999999999943,87.25,
2.749999999999993,87.35,
2.6499999999999915,87.45,
2.549999999999997,87.55,
2.4499999999999957,87.65,
2.3499999999999943,87.75,
2.249999999999993,87.85,
2.1499999999999915,87.95,
2.049999999999997,88.05,
1.9499999999999957,88.15,
1.8499999999999943,88.25,
1.749999999999993,88.35,
1.6499999999999915,88.45,
1.5499999999999972,88.55,
1.4499999999999957,88.65,
1.3499999999999943,88.75,
1.249999999999993,88.85,
1.1499999999999915,88.95,
1.0499999999999972,89.05,
0.9499999999999957,89.15,
0.8499999999999943,89.25,
0.7499999999999929,89.35,
0.6499999999999915,89.45,
0.5499999999999972,89.55,
0.44999999999999574,89.65,
0.3499999999999943,89.75,
0.2499999999999929,89.85,
0.14999999999999147,89.95,
0.04999999999999716,90.05,
-0.05000000000000426,90.15,
-0.15000000000000568,90.25,
-0.2500000000000071,90.35,
-0.3500000000000085,90.45,
-0.45000000000000284,90.55,
-0.5500000000000043,90.65,
-0.6500000000000057,90.75,
-0.7500000000000071,90.85,
-0.8500000000000085,90.95,
-0.9500000000000028,91.05,
-1.0500000000000043,91.15,
-1.1500000000000057,91.25,
-1.250000000000007,91.35,
-1.3500000000000085,91.45,
-1.4500000000000028,91.55,
-1.5500000000000043,91.65,
-1.6500000000000057,91.75,
-1.750000000000007,91.85,
-1.8500000000000085,91.95,
-1.9500000000000028,92.05,
-2.0500000000000043,92.15,
-2.1500000000000057,92.25,
-2.250000000000007,92.35,
-2.3500000000000085,92.45,
-2.450000000000003,92.55,
-2.5500000000000043,92.65,
-2.6500000000000057,92.75,
-2.750000000000007,92.85,
-2.8500000000000085,92.95,
-2.950000000000003,93.05,
-3.0500000000000043,93.15,
-3.1500000000000057,93.25,
-3.250000000000007,93.35,
-3.3500000000000085,93.45,
-3.450000000000003,93.55,
-3.5500000000000043,93.65,
-3.6500000000000057,93.75,
-3.750000000000007,93.85,
-3.8500000000000085,93.95,
-3.950000000000003,94.05,
-4.050000000000004,94.15,
-4.150000000000006,94.25,
-4.250000000000007,94.35,
-4.3500000000000085,94.45,
-4.450000000000003,94.55,
-4.550000000000004,94.65,
-4.650000000000006,94.75,
-4.750000000000007,94.85,
-4.8500000000000085,94.95,
-4.950000000000003,95.05,
-5.050000000000004,95.15,
-5.150000000000006,95.25,
-5.250000000000007,95.35,
-5.3500000000000085,95.45,
-5.450000000000003,95.55,
-5.550000000000004,95.65,
-5.650000000000006,95.75,
-5.750000000000007,95.85,
-5.8500000000000085,95.95,
-5.950000000000003,96.05,
-6.050000000000004,96.15,
-6.150000000000006,96.25,
-6.250000000000007,96.35,
-6.3500000000000085,96.45,
-6.450000000000003,96.55,
-6.550000000000004,96.65,
-6.650000000000006,96.75,
-6.750000000000007,96.85,
-6.8500000000000085,96.95,
